Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525A CJ2, 525B CJ3	Tool	dial indicator base wing refinsishing tool kit	CJMD820-001C	Cessna	Needed For Standard Inspections	Stage 3			$0.00				Own Equivilent		Not needed, alternate on hand	
525C CJ4	Tool	electric windshield anti-ice test box	CJMD756-100	Cessna	Needed For Standard Inspections	Stage 3			$0.00				In Research			
525C CJ4	Tool	EMT kit	9912691-1	Cessna	Needed for Repairs	Stage 3			$0.00				In Research			
525A CJ2, 525B CJ3	Tool	engine build up dolly	08-2021-0000 Also, order Adapter Kit K-2032	Tronair	Needed for Repairs	Stage 3	$10,378.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/08-2021-0000	K-2032 is 5,376.00 l		In Research		lead time	
525A CJ2, 525B CJ3, 525 CJ1, 525C CJ4	Tool	engine sling	08-0119-8000 (CJMD871-001)	Tronair	Needed for Repairs	Stage 3	$1,653.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/08-0119-8000			In Research		lead time	
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3	Tool	engine sling	08-0147C4000 or 08-0119-8000	Tronair	Needed for Repairs	Stage 3	$1,706.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/08-0147C4000			In Research			
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3	Tool	engine sling adapter	K-4375	Tronair	Needed for Repairs	Stage 3	$822.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/K-4375			In Research			
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3	Tool	engine stand	08-2021C0000	Tronair	Needed for Repairs	Stage 3	$10,378.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/08-2021C0000			In Research			
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3	Tool	engine stand adapter	K-4190	Tronair	Needed for Repairs	Stage 3	$6,178.00		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/K-4190			In Research			
525A CJ2, 525B CJ3	Tool	fuselage vane protractor	1939-6 (CJMD834-003)	Safe Flight Instrument	Needed for Repairs	Stage 3			$0.00				In Research			
